"ID";"DIETA";"DIA";"PESO"
1;"Linaza";0;42
1;"Linaza";2;51
1;"Linaza";4;59
1;"Linaza";6;64
1;"Linaza";8;76
1;"Linaza";10;93
1;"Linaza";12;106
1;"Linaza";14;125
1;"Linaza";16;149
1;"Linaza";18;171
1;"Linaza";20;199
1;"Linaza";21;205
2;"Linaza";0;40
2;"Linaza";2;49
2;"Linaza";4;58
2;"Linaza";6;72
2;"Linaza";8;84
2;"Linaza";10;103
2;"Linaza";12;122
2;"Linaza";14;138
2;"Linaza";16;162
2;"Linaza";18;187
2;"Linaza";20;209
2;"Linaza";21;215
3;"Linaza";0;43
3;"Linaza";2;39
3;"Linaza";4;55
3;"Linaza";6;67
3;"Linaza";8;84
3;"Linaza";10;99
3;"Linaza";12;115
3;"Linaza";14;138
3;"Linaza";16;163
3;"Linaza";18;187
3;"Linaza";20;198
3;"Linaza";21;202
4;"Linaza";0;42
4;"Linaza";2;49
4;"Linaza";4;56
4;"Linaza";6;67
4;"Linaza";8;74
4;"Linaza";10;87
4;"Linaza";12;102
4;"Linaza";14;108
4;"Linaza";16;136
4;"Linaza";18;154
4;"Linaza";20;160
4;"Linaza";21;157
5;"Linaza";0;41
5;"Linaza";2;42
5;"Linaza";4;48
5;"Linaza";6;60
5;"Linaza";8;79
5;"Linaza";10;106
5;"Linaza";12;141
5;"Linaza";14;164
5;"Linaza";16;197
5;"Linaza";18;199
5;"Linaza";20;220
5;"Linaza";21;223
6;"Linaza";0;41
6;"Linaza";2;49
6;"Linaza";4;59
6;"Linaza";6;74
6;"Linaza";8;97
6;"Linaza";10;124
6;"Linaza";12;141
6;"Linaza";14;148
6;"Linaza";16;155
6;"Linaza";18;160
6;"Linaza";20;160
6;"Linaza";21;157
7;"Linaza";0;41
7;"Linaza";2;49
7;"Linaza";4;57
7;"Linaza";6;71
7;"Linaza";8;89
7;"Linaza";10;112
7;"Linaza";12;146
7;"Linaza";14;174
7;"Linaza";16;218
7;"Linaza";18;250
7;"Linaza";20;288
7;"Linaza";21;305
9;"Linaza";0;42
9;"Linaza";2;51
9;"Linaza";4;59
9;"Linaza";6;68
9;"Linaza";8;85
9;"Linaza";10;96
9;"Linaza";12;90
9;"Linaza";14;92
9;"Linaza";16;93
9;"Linaza";18;100
9;"Linaza";20;100
9;"Linaza";21;98
10;"Linaza";0;41
10;"Linaza";2;44
10;"Linaza";4;52
10;"Linaza";6;63
10;"Linaza";8;74
10;"Linaza";10;81
10;"Linaza";12;89
10;"Linaza";14;96
10;"Linaza";16;101
10;"Linaza";18;112
10;"Linaza";20;120
10;"Linaza";21;124
11;"Linaza";0;43
11;"Linaza";2;51
11;"Linaza";4;63
11;"Linaza";6;84
11;"Linaza";8;112
11;"Linaza";10;139
11;"Linaza";12;168
11;"Linaza";14;177
11;"Linaza";16;182
11;"Linaza";18;184
11;"Linaza";20;181
11;"Linaza";21;175
12;"Linaza";0;41
12;"Linaza";2;49
12;"Linaza";4;56
12;"Linaza";6;62
12;"Linaza";8;72
12;"Linaza";10;88
12;"Linaza";12;119
12;"Linaza";14;135
12;"Linaza";16;162
12;"Linaza";18;185
12;"Linaza";20;195
12;"Linaza";21;205
13;"Linaza";0;41
13;"Linaza";2;48
13;"Linaza";4;53
13;"Linaza";6;60
13;"Linaza";8;65
13;"Linaza";10;67
13;"Linaza";12;71
13;"Linaza";14;70
13;"Linaza";16;71
13;"Linaza";18;81
13;"Linaza";20;91
13;"Linaza";21;96
14;"Linaza";0;41
14;"Linaza";2;49
14;"Linaza";4;62
14;"Linaza";6;79
14;"Linaza";8;101
